"stockcode","tradingdate","openprice","closeprice","highestprice","lowestprice","totalvol"
"MSN","2020-08-10","43869.98017915832100000000000","44112.80294767764750000000000","44436.56663903674950000000000","43869.98017915832100000000000","953690"
"MSN","2020-08-11","44355.62571619697400000000000","44193.74387051742300000000000","44355.62571619697400000000000","43789.03925631854550000000000","658760"
"MSN","2020-08-12","43950.92110199809650000000000","43869.98017915832100000000000","44355.62571619697400000000000","43627.15741063899450000000000","981320"
"MSN","2020-08-13","43869.98017915832100000000000","44031.86202483787200000000000","44193.74387051742300000000000","43708.09833347877000000000000","953060"
"MSN","2020-08-14","44031.86202483787200000000000","43222.45279644011700000000000","44112.80294767764750000000000","42898.68910508101500000000000","1796510"
"MSN","2020-08-17","43222.45279644011700000000000","42898.68910508101500000000000","43303.39371927989250000000000","42332.10264520258650000000000","1099660"
"MSN","2020-08-18","42898.68910508101500000000000","42413.04356804236200000000000","42898.68910508101500000000000","42332.10264520258650000000000","771290"
"MSN","2020-08-19","42413.04356804236200000000000","42655.86633656168850000000000","42817.74818224123950000000000","42170.22079952303550000000000","867050"
"MSN","2020-08-20","42655.86633656168850000000000","42089.27987668326000000000000","42736.80725940146400000000000","42089.27987668326000000000000","1419940"
"MSN","2020-08-21","42089.27987668326000000000000","42574.92541372191300000000000","42817.74818224123950000000000","42089.27987668326000000000000","968870"
"MSN","2020-08-24","42736.80725940146400000000000","43384.33464211966800000000000","43708.09833347877000000000000","42736.80725940146400000000000","1713810"
"MSN","2020-08-25","43708.09833347877000000000000","43384.33464211966800000000000","44031.86202483787200000000000","43384.33464211966800000000000","1698780"
"MSN","2020-08-26","43384.33464211966800000000000","43303.39371927989250000000000","43627.15741063899450000000000","43141.51187360034150000000000","883720"
"MSN","2020-08-27","43303.39371927989250000000000","43384.33464211966800000000000","43465.27556495944350000000000","43222.45279644011700000000000","816320"
"MSN","2020-08-28","43627.15741063899450000000000","44112.80294767764750000000000","44922.21217607540250000000000","43465.27556495944350000000000","2380000"
"MSN","2020-08-31","44517.50756187652500000000000","44517.50756187652500000000000","44922.21217607540250000000000","44031.86202483787200000000000","1294650"
"MSN","2020-09-01","44517.50756187652500000000000","44193.74387051742300000000000","44517.50756187652500000000000","43950.92110199809650000000000","1624840"
"MSN","2020-09-03","44841.27125323562700000000000","44841.27125323562700000000000","44922.21217607540250000000000","44274.68479335719850000000000","1754030"
"MSN","2020-09-04","44031.86202483787200000000000","45569.73955879360650000000000","45731.62140447315750000000000","44031.86202483787200000000000","2640190"
"MSN","2020-09-07","45812.56232731293300000000000","44193.74387051742300000000000","46217.26694151181050000000000","44193.74387051742300000000000","2265500"
"MSN","2020-09-08","44274.68479335719850000000000","44355.62571619697400000000000","44517.50756187652500000000000","44031.86202483787200000000000","1460040"
"MSN","2020-09-09","43789.03925631854550000000000","44517.50756187652500000000000","44841.27125323562700000000000","43789.03925631854550000000000","1082410"
"MSN","2020-09-10","44841.27125323562700000000000","44355.62571619697400000000000","44922.21217607540250000000000","44274.68479335719850000000000","735560"
"MSN","2020-09-11","44193.74387051742300000000000","44517.50756187652500000000000","44517.50756187652500000000000","43950.92110199809650000000000","539780"
"MSN","2020-09-14","44517.50756187652500000000000","45003.15309891517800000000000","45165.03494459472900000000000","44517.50756187652500000000000","944590"
"MSN","2020-09-15","45003.15309891517800000000000","44841.27125323562700000000000","45165.03494459472900000000000","44598.44848471630050000000000","794620"
"MSN","2020-09-16","44841.27125323562700000000000","44436.56663903674950000000000","44841.27125323562700000000000","44193.74387051742300000000000","908870"
"MSN","2020-09-17","44436.56663903674950000000000","43708.09833347877000000000000","44436.56663903674950000000000","43708.09833347877000000000000","1241490"
"MSN","2020-09-18","43708.09833347877000000000000","43869.98017915832100000000000","44193.74387051742300000000000","43708.09833347877000000000000","1122350"
"MSN","2020-09-21","44031.86202483787200000000000","44112.80294767764750000000000","44355.62571619697400000000000","44031.86202483787200000000000","879920"
"MSN","2020-09-22","44112.80294767764750000000000","43950.92110199809650000000000","44193.74387051742300000000000","43789.03925631854550000000000","760350"
"MSN","2020-09-23","44193.74387051742300000000000","44841.27125323562700000000000","44841.27125323562700000000000","44031.86202483787200000000000","1284870"
"MSN","2020-09-24","44598.44848471630050000000000","44517.50756187652500000000000","45084.09402175495350000000000","44517.50756187652500000000000","881030"
"MSN","2020-09-25","44517.50756187652500000000000","44274.68479335719850000000000","44760.33033039585150000000000","44112.80294767764750000000000","708340"
"MSN","2020-09-28","44274.68479335719850000000000","44274.68479335719850000000000","44598.44848471630050000000000","44112.80294767764750000000000","623360"
"MSN","2020-09-29","44436.56663903674950000000000","43384.33464211966800000000000","44436.56663903674950000000000","43384.33464211966800000000000","1283100"
"MSN","2020-09-30","43384.33464211966800000000000","44193.74387051742300000000000","44193.74387051742300000000000","43384.33464211966800000000000","843740"
"MSN","2020-10-01","44274.68479335719850000000000","44436.56663903674950000000000","44517.50756187652500000000000","44193.74387051742300000000000","964220"
"MSN","2020-10-02","44436.56663903674950000000000","43789.03925631854550000000000","44517.50756187652500000000000","43546.21648779921900000000000","1483120"
"MSN","2020-10-05","44193.74387051742300000000000","45326.91679027428000000000000","45488.79863595383100000000000","43789.03925631854550000000000","3268020"
"MSN","2020-10-06","45650.68048163338200000000000","46945.73524706979000000000000","47188.55801558911650000000000","45569.73955879360650000000000","4400570"
"MSN","2020-10-07","46945.73524706979000000000000","50102.43123782103450000000000","50183.37216066081000000000000","46864.79432423001450000000000","6435850"
"MSN","2020-10-08","49778.66754646193250000000000","51721.24969461654450000000000","51721.24969461654450000000000","49050.19924090395300000000000","4846470"
"MSN","2020-10-09","51397.48600325744250000000000","55120.76845388711550000000000","55201.70937672689100000000000","50345.25400634036100000000000","5339660"
"MSN","2020-10-12","55039.82753104734000000000000","56820.52783352240100000000000","56820.52783352240100000000000","53825.71368845070750000000000","5818700"
"MSN","2020-10-13","56658.64598784285000000000000","60543.81028415207400000000000","60786.63305267140050000000000","55039.82753104734000000000000","4664240"
"MSN","2020-10-14","60462.86936131229850000000000","64752.73827182040000000000000","64752.73827182040000000000000","59167.81459587589050000000000","5066890"
"MSN","2020-10-15","64752.73827182040000000000000","65643.08842305793050000000000","67100.02503417388950000000000","63376.74258354421650000000000","5698130"
"MSN","2020-10-16","65562.14750021815500000000000","64752.73827182040000000000000","65562.14750021815500000000000","61110.39674403050250000000000","6539150"
"MSN","2020-10-19","61676.98320390893100000000000","66371.55672861591000000000000","66371.55672861591000000000000","61676.98320390893100000000000","3072960"
"MSN","2020-10-20","66209.67488293635900000000000","67747.55241689209350000000000","67747.55241689209350000000000","64752.73827182040000000000000","4875310"
"MSN","2020-10-21","67180.96595701366500000000000","67747.55241689209350000000000","68718.84349096939950000000000","66371.55672861591000000000000","1756450"
"MSN","2020-10-22","67019.08411133411400000000000","68799.78441380917500000000000","68799.78441380917500000000000","66776.26134281478750000000000","5130670"
