signal_date,fill_date,ticker,detector,fill_price,window_id,days_since_buy
2023-04-10,2023-04-11,PPC,C,11014.667866017659,20,19
2023-11-30,2023-12-01,PPC,C,10818.809814431477,21,12
2024-05-31,2024-06-03,PPC,C,14977.642859082924,23,12
2024-06-26,2024-06-27,PPC,C,15110.974991359628,24,11
2024-10-11,2024-10-14,PPC,C,11422.119331704189,25,13
2025-03-25,2025-03-26,PPC,C,11436.619718309856,26,13
2015-10-12,2015-10-13,PTB,A,9381.208030437087,4,3
2017-09-13,2017-09-14,PTB,A,38302.59039435704,8,8
2019-07-10,2019-07-11,PTB,A,35014.623978675096,10,5
2021-03-08,2021-03-09,PTB,A,41436.608780821705,14,5
2021-05-21,2021-05-24,PTB,A,46256.03736215622,16,3
2021-09-17,2021-09-20,PTB,A,57195.9691884196,17,2
2024-03-12,2024-03-13,PTB,A,52096.073045752906,22,6
2024-05-23,2024-05-24,PTB,A,58443.221185820905,23,6
2014-04-03,2014-04-04,PTB,C,5824.367105392753,1,12
2014-07-03,2014-07-04,PTB,C,5479.053123189779,2,14
2015-01-13,2015-01-14,PTB,C,8218.579684784669,3,3
2015-10-19,2015-10-20,PTB,C,10022.658152176375,4,8
2017-09-07,2017-09-08,PTB,C,36775.93910461754,8,4
2018-04-05,2018-04-06,PTB,C,34399.36640357357,9,14
2019-07-10,2019-07-11,PTB,C,35014.623978675096,10,5
2020-08-24,2020-08-25,PTB,C,25773.465891484553,12,1
2020-11-19,2020-11-20,PTB,C,29492.807514036183,13,1
2021-03-08,2021-03-09,PTB,C,41436.608780821705,14,5
2021-04-14,2021-04-15,PTB,C,44422.55909751809,15,20
2021-05-21,2021-05-24,PTB,C,46256.03736215622,16,3
2021-09-17,2021-09-20,PTB,C,57195.9691884196,17,2
2023-03-31,2023-04-03,PTB,C,33184.95957761662,20,13
2023-11-20,2023-11-21,PTB,C,47310.89151472444,21,4
2024-03-08,2024-03-11,PTB,C,48386.70075610278,22,4
2024-05-23,2024-05-24,PTB,C,58443.221185820905,23,6
2024-06-20,2024-06-21,PTB,C,62152.59347547103,24,7
2025-05-26,2025-05-27,PTB,C,47009.09227992082,27,5
2024-03-14,2024-03-15,PVD,A,32564.900662251657,22,8
2014-04-07,2014-04-08,PVD,C,39735.28669605767,1,14
2014-06-17,2014-06-18,PVD,C,39505.602957930176,2,2
2016-10-06,2016-10-07,PVD,C,16972.887332338043,5,8
2017-09-26,2017-09-27,PVD,C,9978.6470487135,8,17
2020-08-24,2020-08-25,PVD,C,8075.976598676645,12,1
2020-11-19,2020-11-20,PVD,C,9335.53258195649,13,1
2021-03-19,2021-03-22,PVD,C,17522.646473275476,14,14
2021-05-31,2021-06-01,PVD,C,16818.776953207325,16,9
2021-09-17,2021-09-20,PVD,C,15077.626035144012,17,2
2023-04-05,2023-04-06,PVD,C,20927.593818984547,20,16
2023-11-29,2023-11-30,PVD,C,27968.653421633553,21,11
2024-03-14,2024-03-15,PVD,C,32564.900662251657,22,8
2024-05-16,2024-05-17,PVD,C,32075.938189845474,23,1
2024-09-26,2024-09-27,PVD,C,26844.039735099337,25,2
2025-06-13,2025-06-16,PVD,C,21025.386313465784,27,19
2017-06-15,2017-06-16,PVT,A,6738.129654741095,7,19
2017-09-13,2017-09-14,PVT,A,7394.914855744739,8,8
2021-06-04,2021-06-07,PVT,A,13622.211576371874,16,13
2024-05-30,2024-05-31,PVT,A,23231.932773109227,23,11
2014-07-08,2014-07-09,PVT,C,5381.422249408631,2,17
2015-10-08,2015-10-09,PVT,C,4669.1751869869,4,1
2017-04-07,2017-04-10,PVT,C,5948.365721682388,6,13
2017-05-22,2017-05-23,PVT,C,6084.587837446106,7,1
2017-09-05,2017-09-06,PVT,C,7492.216367004538,8,2
2018-04-03,2018-04-04,PVT,C,10508.563216058314,9,12
2019-07-04,2019-07-05,PVT,C,8510.638851523758,10,1
2020-05-13,2020-05-14,PVT,C,5982.421250623316,11,17
2020-08-26,2020-08-27,PVT,C,6175.402581288585,12,3
2020-12-09,2020-12-10,PVT,C,8659.83450212212,13,15
2021-03-04,2021-03-05,PVT,C,11935.652047868689,14,3
2021-04-09,2021-04-12,PVT,C,11773.48286243569,15,17
2021-05-26,2021-05-27,PVT,C,11351.842980309895,16,6
2021-09-17,2021-09-20,PVT,C,16281.786217473049,17,2
2021-12-15,2021-12-16,PVT,C,16400.4617516405,18,15
2022-12-14,2022-12-15,PVT,C,14144.135391558542,19,8
2023-03-30,2023-03-31,PVT,C,14076.782365884454,20,12
2024-03-06,2024-03-07,PVT,C,18735.42965573325,22,2
2024-05-17,2024-05-20,PVT,C,22482.515586879897,23,2
2024-09-26,2024-09-27,PVT,C,21590.546218487394,25,2
2025-06-03,2025-06-04,PVT,C,17499.70588235294,27,11
2017-06-06,2017-06-07,REE,A,16211.373553462166,7,12
2020-09-10,2020-09-11,REE,A,21064.253492754462,12,13
2020-11-23,2020-11-24,REE,A,24872.022393367766,13,3
2021-09-17,2021-09-20,REE,A,36295.329095207686,17,2
2024-05-23,2024-05-24,REE,A,51997.38031637781,23,6
2024-07-09,2024-07-10,REE,A,59425.57750443178,24,20
2025-03-10,2025-03-11,REE,A,63153.62838468722,26,2
2025-06-05,2025-06-06,REE,A,66148.71916173879,27,13
2014-07-09,2014-07-10,REE,C,9689.556606667087,2,18
2015-01-09,2015-01-12,REE,C,9829.984963285451,3,1
2015-10-16,2015-10-19,REE,C,9622.583082741396,4,7
2017-03-29,2017-03-30,REE,C,13157.056797012772,6,7
2017-06-15,2017-06-16,REE,C,16493.310484826725,7,19
