date,ticker,shares,mark_price,mark_value
2017-10-03,MWG,4600,27174.640216843654,125003344.99748081
2017-10-03,PDR,15600,8195.143489565964,127844238.43722904
2017-10-03,PTB,3200,38984.131148705026,124749219.67585608
2017-10-04,VIC,6500,19182.223420898044,124684452.2358373
2017-10-04,HPG,17800,7501.428856097993,133525433.63854428
2017-10-04,MSN,2900,44517.507561876526,129100771.92944193
2017-10-04,VGC,8800,15386.400231773983,135400322.03961104
2017-10-04,GEX,13600,10010.522276499378,136143102.96039155
2017-10-04,MWG,4600,27174.640216843654,125003344.99748081
2017-10-04,PDR,15600,8195.143489565964,127844238.43722904
2017-10-04,PTB,3200,39038.65440905286,124923694.10896915
2017-10-05,VIC,6500,19440.445659256286,126362896.78516586
2017-10-05,HPG,17800,7340.616383773067,130662971.6311606
2017-10-05,MSN,2900,46702.91247855046,135438446.18779632
2017-10-05,VGC,8800,15317.710945024992,134795856.31621993
2017-10-05,GEX,13600,9923.094134346546,134954080.227113
2017-10-05,MWG,4600,26944.346655683963,123943994.61614624
2017-10-05,PDR,15600,8289.650910368207,129318554.20174403
2017-10-05,PTB,3200,39038.65440905286,124923694.10896915
2017-10-06,VIC,6500,19403.55676806225,126123118.99240464
2017-10-06,HPG,17800,7350.075940968651,130831351.74924198
2017-10-06,MSN,2900,46217.26694151181,134030074.13038424
2017-10-06,VGC,8800,15523.778805271964,136609253.48639327
2017-10-06,GEX,13600,9879.38006327013,134359568.86047375
2017-10-06,MWG,4600,27059.49343626381,124473669.80681352
2017-10-06,PDR,15600,8289.650910368207,129318554.20174403
2017-10-06,PTB,3200,38711.51484696583,123876847.51029065
2017-10-09,VIC,6500,19182.223420898044,124684452.2358373
2017-10-09,HPG,17800,7463.590627315657,132851913.1662187
2017-10-09,MSN,2900,46298.207864351585,134264802.80661958
2017-10-09,VGC,8800,15455.089518522975,136004787.7630022
2017-10-09,GEX,13600,9966.808205422962,135548591.59375226
2017-10-09,MWG,4600,27404.933778003346,126062695.37881538
2017-10-09,PDR,15600,8370.657271055845,130582253.42847118
2017-10-09,PTB,3200,38438.898545226635,123004475.34472524
2017-10-10,VIC,6500,19256.001203286112,125164007.82135972
2017-10-10,HPG,17800,7510.888413293576,133693813.75662565
2017-10-10,MSN,2900,46298.207864351585,134264802.80661958
2017-10-10,VGC,8800,15592.468092020956,137213719.20978442
2017-10-10,GEX,13600,9835.665992193712,133765057.49383448
2017-10-10,MWG,4600,28441.25480322196,130829772.09482102
2017-10-10,PDR,15600,8546.171052545726,133320268.41971332
2017-10-10,PTB,3200,38411.63691505272,122917238.1281687
2017-10-11,VIC,6500,20252.00126552505,131638008.22591282
2017-10-11,HPG,17800,7482.509741706825,133188673.40238148
2017-10-11,MSN,2900,45003.15309891518,130509143.98685402
2017-10-11,VGC,8800,16073.293099263894,141444979.27352226
