ticker,buy_date,buy_price,buy_cost_vnd,sell_date,sell_price,sell_cost_vnd,pnl_vnd,pnl_pct,exit_reason
MSN,2018-03-27,89844.4243521508,153270095.72355163,2018-04-10,88225.60589535529,674925.8850994706,-3961491.5865471065,-0.018018018018018105,hard_stop
PAN,2018-04-04,44744.14035087713,157152606.94736817,2018-04-10,41035.72654462237,646312.6930778027,-14173876.734267682,-0.08288043478260874,hard_stop
VJC,2018-03-27,178200.0,143058960.0,2018-04-12,171720.0,618192.0,-6301152.0,-0.03636363636363636,hard_stop
HCM,2018-04-03,13525.879883247511,157449357.36893097,2018-04-17,12603.660800298818,657911.0937756002,-11904803.179240286,-0.06818181818181815,hard_stop
VHC,2018-03-26,20509.181048748665,154357223.86814463,2018-04-20,25760.324022582863,869410.935762167,37975795.36546469,0.2560386473429951,mdm_sell
VIC,2018-03-27,43160.0026970206,151588719.47261056,2018-04-20,44598.66945358795,702429.0438939929,3804194.5710532665,0.03333333333333323,mdm_sell
SSI,2018-04-04,13139.406572012625,158224733.940176,2018-04-20,12406.044344737502,669926.394615829,-10022128.19794181,-0.05581395348837211,mdm_sell
VND,2018-04-04,5830.1957168121935,158551297.98935005,2018-04-20,5720.192024042152,697577.417331934,-4231671.555139661,-0.018867924528301855,mdm_sell
DGW,2018-04-11,5117.476949005661,160224109.291808,2018-04-20,5136.291202494653,721135.2848302424,-692959.0588050783,0.003676470588235433,mdm_sell
VHC,2018-09-13,28072.14797332748,152120162.65266427,2018-10-12,28138.2000862059,683758.2620947957,-857640.4492472112,0.0023529411764706847,mdm_sell
