date,ticker,shares,mark_price,mark_value
2021-09-23,NKG,5800,28199.298986486505,163555934.12162173
2021-09-23,CTR,2700,61444.26470723722,165899514.7095405
2021-09-24,DGW,4300,47295.25693594537,203369604.82456508
2021-09-24,HPG,5400,29123.970032464193,157269438.17530665
2021-09-24,HSG,4700,34763.19199532453,163387002.3780253
2021-09-24,NKG,5800,27823.30833333335,161375188.33333343
2021-09-24,CTR,2700,61000.08929971503,164700241.10923058
2021-09-27,DGW,4300,45585.78981777867,196018896.21644828
2021-09-27,HPG,5400,29123.970032464193,157269438.17530665
2021-09-27,HSG,4700,33691.1992906229,158348636.66592762
2021-09-27,NKG,5800,26319.345720720736,152652205.18018028
2021-09-27,CTR,2700,59741.59231173547,161302299.24168578
2021-09-28,DGW,4300,47213.8537398422,203019571.08132145
2021-09-28,HPG,5400,30155.921726527886,162841977.3232506
2021-09-28,HSG,4700,35222.617440196664,165546301.9689243
2021-09-28,NKG,5800,27509.982789039055,159557900.17642653
2021-09-28,CTR,2700,60259.7969538447,162701451.7753807
2021-09-29,DGW,4300,46074.208994397726,198119098.67591023
2021-09-29,HPG,5400,30557.236274219318,165009075.88078433
2021-09-29,HSG,4700,35146.04653271798,165186418.70377448
2021-09-29,CTR,2700,59741.59231173547,161302299.24168578
2021-09-30,DGW,4300,48312.796887235076,207745026.6151108
2021-09-30,HPG,5400,30327.9136755385,163770733.8479079
2021-09-30,HSG,4700,35605.4719775901,167345718.29467347
2021-09-30,CTR,2700,59963.68001549657,161901936.04184073
2021-10-01,DGW,4300,48801.21606385413,209845229.07457277
2021-10-01,HPG,5400,30614.566923889524,165318661.38900343
2021-10-01,HSG,4700,35796.89924628683,168245426.45754808
2021-10-01,CTR,2700,60703.9723613669,163900725.3756906
2021-11-26,PDR,2800,58790.979953603535,164614743.8700899
2021-11-29,PDR,2800,57686.347762408484,161521773.73474374
2021-11-30,PDR,2800,57440.87394214291,160834447.03800017
2021-11-30,VHM,2000,82200.00000000001,164400000.00000003
2021-12-01,PDR,2800,57072.66321174456,159803456.99288478
2021-12-01,VHM,2000,80548.22695035463,161096453.90070924
2021-12-02,PDR,2800,58177.29540293962,162896427.12823093
2021-12-02,VHM,2000,79965.24822695037,159930496.45390072
2021-12-03,PDR,2800,58238.66385800601,163068258.80241683
2021-12-03,VHM,2000,77924.82269503547,155849645.39007095
2022-06-01,VHC,2100,81331.35832067745,170795852.47342265
2022-06-02,VHC,2100,81775.3875744755,171728313.90639856
2022-06-02,VSC,8400,19430.91629650878,163219696.89067376
2022-06-03,VHC,2100,84735.58259979587,177944723.45957133
2022-06-03,VSC,8400,20019.73194185753,168165748.31160328
2022-06-06,VHC,2100,80665.31443998036,169397160.32395875
2022-06-06,VSC,8400,20765.565092632616,174430746.77811396
2022-06-07,VHC,2100,84365.55822163084,177167672.26542476
2022-06-07,VSC,8400,21079.600103485285,177068640.8692764
2022-06-08,VHC,2100,79925.26568365026,167843057.93566555
2022-06-08,VSC,8400,20608.547587206285,173111799.7325328
2022-06-08,REE,2600,61749.11836766236,160547707.75592214
2022-06-09,VHC,2100,81405.36319631046,170951262.71225196
2022-06-09,VSC,8400,21550.652619764285,181025482.00602
2022-06-09,REE,2600,60806.86325523618,158097844.46361408
2022-06-10,VHC,2100,75706.98777256873,158984674.3223943
2022-06-10,VSC,8400,20058.986318214116,168495485.07299858
2022-06-10,REE,2600,56598.12375306591,147155121.75797138
2022-06-13,VHC,2100,70452.64160262505,147950547.3655126
2022-06-13,VSC,8400,18665.455957555405,156789830.0434654
2022-06-13,REE,2600,54336.711483243074,141275449.856432
2022-06-13,DGC,1500,103137.59121217205,154706386.81825808
2022-06-14,VSC,8400,18724.33752209028,157284435.18555838
